,trial_in_session,final_socnonsoc
197,712,0.0
198,737,0.0
199,739,1.0
200,741,0.0
201,21,0.0
202,35,1.0
203,47,0.0
204,53,0.0
205,59,0.0
206,68,1.0
207,75,0.0
208,90,1.0
209,91,1.0
210,111,0.0
211,117,0.0
212,130,0.0
213,133,1.0
214,169,1.0
215,185,1.0
216,196,1.0
217,205,1.0
218,206,0.0
219,212,0.0
220,215,0.0
221,233,1.0
222,240,1.0
223,251,0.0
224,258,1.0
225,293,0.0
226,302,0.0
227,310,1.0
228,322,0.0
229,327,0.0
230,330,1.0
231,334,1.0
232,336,1.0
233,343,1.0
234,365,1.0
235,385,0.0
236,386,1.0
237,389,1.0
238,402,1.0
239,413,1.0
240,418,1.0
241,425,0.0
242,432,0.0
243,440,0.0
244,449,0.0
245,459,0.0
246,466,1.0
247,479,0.0
248,497,0.0
249,508,0.0
250,518,1.0
251,519,0.0
252,524,0.0
253,532,0.0
254,563,1.0
255,578,0.0
256,579,0.0
257,583,1.0
258,584,1.0
259,595,0.0
260,604,1.0
261,608,1.0
262,624,0.0
263,646,1.0
264,652,1.0
265,669,1.0
266,670,0.0
267,672,0.0
268,674,0.0
269,675,0.0
270,683,1.0
271,687,0.0
272,688,0.0
273,695,0.0
274,696,1.0
275,700,0.0
276,705,1.0
277,707,0.0
278,713,0.0
279,717,0.0
280,718,1.0
281,725,0.0
282,732,0.0
283,0,1.0
284,2,0.0
285,15,0.0
286,17,1.0
287,35,0.0
288,37,0.0
289,40,1.0
290,47,0.0
291,48,0.0
292,50,1.0
293,57,1.0
294,74,0.0
295,75,0.0
296,79,0.0
297,85,1.0
298,95,0.0
299,107,0.0
300,130,0.0
301,133,0.0
302,150,1.0
303,179,1.0
304,211,0.0
305,212,1.0
306,216,1.0
307,217,0.0
308,235,1.0
309,245,0.0
310,257,0.0
311,269,1.0
312,297,1.0
313,301,1.0
314,311,1.0
315,313,0.0
316,332,1.0
317,361,1.0
318,372,1.0
319,374,0.0
320,379,0.0
321,400,0.0
322,479,1.0
323,528,1.0
324,538,0.0
325,553,0.0
326,588,0.0
327,597,1.0
328,601,1.0
329,605,0.0
330,628,1.0
331,633,1.0
332,634,1.0
333,640,0.0
334,655,0.0
335,667,1.0
336,685,1.0
337,700,1.0
338,724,0.0
339,727,0.0
340,5,0.0
341,13,1.0
342,16,1.0
343,21,1.0
344,26,1.0
345,46,0.0
346,47,0.0
347,51,1.0
348,58,0.0
349,61,1.0
350,67,0.0
351,71,1.0
352,72,0.0
353,76,0.0
354,79,1.0
355,103,0.0
356,106,0.0
357,111,0.0
358,113,0.0
359,114,0.0
360,125,1.0
361,126,0.0
362,137,0.0
363,140,1.0
364,153,1.0
365,154,1.0
366,156,0.0
367,175,0.0
368,184,1.0
369,186,0.0
370,210,0.0
371,229,0.0
372,236,0.0
373,237,1.0
374,238,1.0
375,246,0.0
376,252,0.0
377,279,1.0
378,282,1.0
379,294,1.0
380,301,1.0
381,307,0.0
382,310,0.0
383,315,1.0
384,323,0.0
385,324,1.0
386,329,1.0
387,331,1.0
388,333,0.0
389,339,0.0
390,343,0.0
391,357,0.0
392,365,0.0
393,374,0.0
394,420,1.0
395,427,1.0
396,429,0.0
397,435,1.0
398,439,0.0
399,459,1.0
400,464,0.0
401,470,1.0
402,472,0.0
403,498,1.0
404,508,0.0
405,516,0.0
406,530,1.0
407,538,1.0
408,540,1.0
409,557,0.0
410,559,0.0
411,566,0.0
412,574,0.0
413,584,0.0
414,593,0.0
415,597,0.0
416,605,1.0
417,625,0.0
418,641,0.0
419,645,0.0
420,656,1.0
421,672,1.0
422,673,0.0
423,683,0.0
424,721,0.0
425,729,0.0
426,731,1.0
427,0,0.0
428,14,1.0
429,25,0.0
430,32,0.0
431,36,1.0
432,37,0.0
433,42,0.0
434,46,1.0
435,51,0.0
436,59,0.0
437,127,0.0
438,137,0.0
439,140,1.0
440,148,0.0
441,163,0.0
442,175,0.0
443,179,0.0
444,187,0.0
445,192,1.0
446,246,0.0
447,262,1.0
448,267,0.0
449,270,0.0
450,282,0.0
451,283,0.0
452,299,0.0
453,323,0.0
454,324,0.0
455,334,0.0
456,335,0.0
457,353,0.0
458,379,0.0
459,384,1.0
460,394,1.0
461,409,0.0
462,411,1.0
463,423,1.0
464,446,1.0
465,447,0.0
466,451,1.0
467,458,1.0
468,461,0.0
469,464,0.0
470,470,1.0
471,481,0.0
472,497,0.0
473,500,1.0
474,506,1.0
475,524,0.0
476,525,0.0
477,539,1.0
478,552,0.0
479,566,0.0
480,586,0.0
481,588,1.0
482,590,0.0
483,597,1.0
484,620,0.0
485,621,1.0
486,624,0.0
487,629,1.0
488,631,0.0
489,697,0.0
490,729,1.0
491,730,1.0
492,744,0.0
493,747,0.0
494,16,0.0
495,24,1.0
496,26,1.0
497,52,0.0
498,57,1.0
499,85,1.0
500,100,0.0
501,113,1.0
502,123,0.0
503,158,0.0
504,163,1.0
505,187,0.0
506,197,0.0
507,204,0.0
508,207,1.0
509,211,0.0
510,220,0.0
511,227,0.0
512,231,1.0
513,233,0.0
514,237,1.0
515,269,0.0
516,273,0.0
517,277,1.0
518,289,0.0
519,295,0.0
520,301,1.0
521,323,1.0
522,330,0.0
523,340,1.0
524,358,0.0
525,369,0.0
526,378,0.0
527,388,0.0
528,389,1.0
529,391,0.0
530,394,0.0
531,405,1.0
532,411,1.0
533,413,1.0
534,433,1.0
535,485,1.0
536,497,0.0
537,512,1.0
538,530,0.0
539,573,0.0
540,578,0.0
541,591,1.0
542,595,1.0
543,598,0.0
544,607,1.0
545,609,1.0
546,626,1.0
547,666,1.0
548,668,0.0
549,674,0.0
550,681,0.0
551,691,0.0
552,695,0.0
553,704,1.0
554,721,1.0
555,725,1.0
556,736,1.0
557,745,1.0
558,18,0.0
559,33,1.0
560,34,0.0
561,55,0.0
562,63,0.0
563,74,1.0
564,79,0.0
565,88,1.0
566,89,1.0
567,94,0.0
568,104,1.0
569,111,0.0
570,113,1.0
571,122,0.0
572,124,0.0
573,135,0.0
574,169,1.0
575,179,0.0
576,213,1.0
577,226,1.0
578,230,0.0
579,243,1.0
580,247,0.0
581,249,1.0
582,258,0.0
583,266,0.0
584,271,0.0
585,273,1.0
586,281,0.0
587,290,1.0
588,291,0.0
589,294,0.0
590,298,1.0
591,310,0.0
592,313,0.0
593,335,1.0
594,355,0.0
595,381,0.0
596,420,1.0
597,429,1.0
598,440,1.0
599,442,0.0
600,445,0.0
601,447,1.0
602,458,0.0
603,462,0.0
604,467,0.0
605,485,1.0
606,486,0.0
607,503,0.0
608,511,1.0
609,522,1.0
610,540,0.0
611,543,1.0
612,552,1.0
613,563,0.0
614,570,1.0
615,575,0.0
616,585,0.0
617,614,1.0
618,635,0.0
619,646,0.0
620,692,1.0
621,696,1.0
622,700,1.0
623,704,1.0
624,740,1.0
625,748,0.0
626,6,0.0
627,66,0.0
628,68,1.0
629,85,1.0
630,108,1.0
631,117,0.0
632,119,1.0
633,124,0.0
634,132,0.0
635,136,0.0
636,142,0.0
637,162,1.0
638,165,0.0
639,166,0.0
640,167,0.0
641,174,0.0
642,177,0.0
643,188,0.0
644,194,0.0
645,199,0.0
646,202,0.0
647,205,0.0
648,206,0.0
649,231,0.0
650,232,0.0
651,237,0.0
652,238,1.0
653,240,1.0
654,247,0.0
655,263,0.0
656,282,1.0
657,285,0.0
658,295,0.0
659,296,0.0
660,312,1.0
661,319,0.0
662,336,0.0
663,348,0.0
664,353,0.0
665,391,0.0
666,395,1.0
667,411,0.0
668,424,0.0
669,439,0.0
670,468,0.0
671,472,0.0
672,474,1.0
673,488,0.0
674,494,0.0
675,495,0.0
676,501,0.0
677,508,0.0
678,516,0.0
679,521,0.0
680,526,0.0
681,529,0.0
682,556,0.0
683,561,1.0
684,564,1.0
685,579,1.0
686,585,0.0
687,649,0.0
688,651,1.0
689,675,1.0
690,679,0.0
691,696,1.0
692,705,0.0
693,706,0.0
694,711,0.0
695,714,0.0
696,723,1.0
697,4,0.0
698,13,0.0
699,35,0.0
700,56,0.0
701,61,0.0
702,75,0.0
703,77,1.0
704,86,1.0
705,126,0.0
706,129,1.0
707,130,0.0
708,132,0.0
709,144,0.0
710,155,0.0
711,163,1.0
712,180,0.0
713,184,1.0
714,188,0.0
715,200,0.0
716,201,1.0
717,208,0.0
718,209,0.0
719,211,0.0
720,217,0.0
721,220,0.0
722,236,0.0
723,238,0.0
724,248,0.0
725,275,0.0
726,283,0.0
727,287,0.0
728,293,1.0
729,306,0.0
730,313,0.0
731,314,1.0
732,319,0.0
733,325,1.0
734,326,1.0
735,340,0.0
736,345,1.0
737,346,1.0
738,365,0.0
739,383,1.0
740,395,0.0
741,398,0.0
742,401,1.0
743,408,1.0
744,412,1.0
745,413,0.0
746,434,0.0
747,442,0.0
748,447,0.0
749,448,0.0
750,450,0.0
751,468,0.0
752,480,0.0
753,489,0.0
754,506,0.0
755,512,1.0
756,523,1.0
757,528,0.0
758,532,1.0
759,547,0.0
760,551,1.0
761,559,1.0
762,565,0.0
763,577,1.0
764,586,0.0
765,605,0.0
766,624,1.0
767,629,1.0
768,636,1.0
769,649,1.0
770,665,0.0
771,673,0.0
772,674,0.0
773,702,0.0
774,714,0.0
775,720,0.0
776,731,1.0
777,741,0.0
778,742,1.0
779,746,0.0
780,4,0.0
781,6,1.0
782,11,1.0
783,18,0.0
784,19,1.0
785,33,1.0
786,37,1.0
787,46,1.0
788,58,1.0
789,71,0.0
790,79,1.0
791,100,1.0
792,107,1.0
793,117,0.0
794,118,0.0
795,119,1.0
796,135,1.0
797,158,0.0
798,165,1.0
799,175,0.0
800,182,1.0
801,189,1.0
802,191,0.0
803,192,0.0
804,209,0.0
805,214,1.0
806,216,1.0
807,235,0.0
808,239,0.0
809,254,0.0
810,256,1.0
811,321,0.0
812,339,0.0
813,341,0.0
814,349,0.0
815,360,1.0
816,378,0.0
817,385,1.0
818,387,0.0
819,389,1.0
820,393,1.0
821,396,1.0
822,398,0.0
823,399,0.0
824,406,1.0
825,411,0.0
826,414,0.0
827,435,0.0
828,439,0.0
829,446,0.0
830,450,1.0
831,463,0.0
832,466,1.0
833,469,0.0
834,478,1.0
835,488,1.0
836,507,1.0
837,519,1.0
838,534,1.0
839,543,1.0
840,548,0.0
841,556,1.0
842,572,0.0
843,582,0.0
844,590,0.0
845,607,1.0
846,617,0.0
847,625,1.0
848,629,0.0
849,640,0.0
850,645,0.0
851,646,0.0
852,649,1.0
853,655,0.0
854,680,0.0
855,703,0.0
856,704,0.0
857,717,1.0
858,732,1.0
859,734,0.0
860,743,0.0
861,9,0.0
862,12,0.0
863,15,0.0
864,18,1.0
865,41,1.0
866,97,0.0
867,129,1.0
868,143,0.0
869,144,1.0
870,147,0.0
871,154,1.0
872,196,0.0
873,198,1.0
874,204,1.0
875,206,1.0
876,213,1.0
877,230,0.0
878,238,1.0
879,245,1.0
880,264,1.0
881,275,0.0
882,300,1.0
883,320,0.0
884,344,0.0
885,349,0.0
886,375,0.0
887,439,0.0
888,442,1.0
889,455,0.0
890,457,0.0
891,481,1.0
892,483,1.0
893,489,0.0
894,499,0.0
895,515,0.0
896,518,0.0
897,532,0.0
898,538,0.0
899,547,1.0
900,548,0.0
901,554,0.0
902,581,0.0
903,591,0.0
904,594,1.0
905,615,1.0
906,620,1.0
907,646,1.0
908,657,0.0
909,662,1.0
910,670,1.0
911,686,1.0
912,691,1.0
913,694,0.0
914,715,1.0
915,721,0.0
916,734,0.0
917,735,1.0
918,739,0.0
919,741,0.0
920,744,1.0
921,9,0.0
922,12,0.0
923,18,1.0
924,41,1.0
925,64,0.0
926,68,0.0
927,70,0.0
928,80,0.0
929,90,0.0
930,97,1.0
931,100,1.0
932,101,0.0
933,105,0.0
934,109,1.0
935,137,1.0
936,140,1.0
937,148,0.0
938,178,0.0
939,201,1.0
940,206,1.0
941,215,0.0
942,223,0.0
943,237,1.0
944,248,0.0
945,265,1.0
946,273,0.0
947,283,0.0
948,296,0.0
949,307,0.0
950,335,0.0
951,342,0.0
952,354,1.0
953,361,0.0
954,382,0.0
955,383,0.0
956,386,0.0
957,409,0.0
958,416,0.0
959,437,0.0
960,440,0.0
961,446,1.0
962,447,1.0
963,448,0.0
964,456,0.0
965,460,1.0
966,467,0.0
967,469,0.0
968,481,0.0
969,487,0.0
970,490,0.0
971,492,1.0
972,496,0.0
973,499,0.0
974,512,0.0
975,522,1.0
976,540,0.0
977,547,0.0
978,549,0.0
979,559,0.0
980,570,1.0
981,572,0.0
982,584,1.0
983,589,1.0
984,601,0.0
985,603,0.0
986,615,0.0
987,616,1.0
988,636,0.0
989,652,0.0
990,653,1.0
991,655,0.0
992,660,0.0
993,665,0.0
994,669,0.0
995,673,0.0
996,680,0.0
997,703,0.0
998,705,1.0
999,713,0.0
1000,715,0.0
1001,726,0.0
1002,730,1.0
1003,738,0.0
1004,746,1.0
1005,4,0.0
1006,12,0.0
1007,14,0.0
1008,26,0.0
1009,44,1.0
1010,49,1.0
1011,56,0.0
1012,58,0.0
1013,62,0.0
1014,63,1.0
1015,135,1.0
1016,177,1.0
1017,178,0.0
1018,190,0.0
1019,223,1.0
1020,226,0.0
1021,229,0.0
1022,230,0.0
1023,236,1.0
1024,238,0.0
1025,241,1.0
1026,270,1.0
1027,275,0.0
1028,320,1.0
1029,327,0.0
1030,328,0.0
1031,332,0.0
1032,333,0.0
1033,336,0.0
1034,343,0.0
1035,348,0.0
1036,349,0.0
1037,352,0.0
1038,353,1.0
1039,364,1.0
1040,365,1.0
1041,386,0.0
1042,390,1.0
1043,400,1.0
1044,408,1.0
1045,409,1.0
1046,418,0.0
1047,419,0.0
1048,423,1.0
1049,427,0.0
1050,461,1.0
1051,477,1.0
1052,482,0.0
1053,486,0.0
1054,503,1.0
1055,514,0.0
1056,518,1.0
1057,544,0.0
1058,548,0.0
1059,573,0.0
1060,574,0.0
1061,583,1.0
1062,585,0.0
1063,592,0.0
1064,594,0.0
1065,600,1.0
1066,617,0.0
1067,621,0.0
1068,626,0.0
1069,629,0.0
1070,630,0.0
1071,634,0.0
1072,640,0.0
1073,645,1.0
1074,646,1.0
1075,647,1.0
1076,649,1.0
1077,656,1.0
1078,661,0.0
1079,662,0.0
1080,667,0.0
1081,669,1.0
1082,670,1.0
1083,672,1.0
1084,675,1.0
1085,678,1.0
1086,682,1.0
1087,687,0.0
1088,734,0.0
1089,744,1.0
1090,745,0.0
1091,748,1.0
1092,2,1.0
1093,22,0.0
1094,44,0.0
1095,51,0.0
1096,52,1.0
1097,54,0.0
1098,59,0.0
1099,63,1.0
1100,65,0.0
1101,71,0.0
1102,80,0.0
1103,93,1.0
1104,100,0.0
1105,101,1.0
1106,106,0.0
1107,122,0.0
1108,142,0.0
1109,154,0.0
1110,172,0.0
1111,204,0.0
1112,217,1.0
1113,223,0.0
1114,225,0.0
1115,233,0.0
1116,235,1.0
1117,236,1.0
1118,241,1.0
1119,245,1.0
1120,253,1.0
1121,257,1.0
1122,263,1.0
1123,281,1.0
1124,306,0.0
1125,307,1.0
1126,316,1.0
1127,318,1.0
1128,324,0.0
1129,338,0.0
1130,341,0.0
1131,350,0.0
1132,359,0.0
1133,360,0.0
1134,366,1.0
1135,371,0.0
1136,396,1.0
1137,431,0.0
1138,432,0.0
1139,434,1.0
1140,446,0.0
1141,448,1.0
1142,460,0.0
1143,471,0.0
1144,476,1.0
1145,479,1.0
1146,494,1.0
1147,505,1.0
1148,507,0.0
1149,510,1.0
1150,527,1.0
1151,537,1.0
1152,544,1.0
1153,546,1.0
1154,550,0.0
1155,561,0.0
1156,566,0.0
1157,568,1.0
1158,578,1.0
1159,610,0.0
1160,612,0.0
1161,615,0.0
1162,639,0.0
1163,652,0.0
1164,675,1.0
1165,683,0.0
1166,687,0.0
1167,689,1.0
1168,695,0.0
1169,698,0.0
1170,726,1.0
1171,727,0.0
1172,728,0.0
1173,734,1.0
1174,749,1.0
1175,1,1.0
1176,2,1.0
1177,8,1.0
1178,22,1.0
1179,28,1.0
1180,43,1.0
1181,46,0.0
1182,51,0.0
1183,63,0.0
1184,80,0.0
1185,98,0.0
1186,103,1.0
1187,109,0.0
1188,130,0.0
1189,131,1.0
1190,141,0.0
1191,152,1.0
1192,154,0.0
1193,165,0.0
1194,169,1.0
1195,184,0.0
1196,196,1.0
1197,197,0.0
1198,206,0.0
1199,208,1.0
1200,219,0.0
1201,221,0.0
1202,222,1.0
1203,223,0.0
1204,226,0.0
1205,233,0.0
1206,244,1.0
1207,248,0.0
1208,251,0.0
1209,255,0.0
1210,268,0.0
1211,279,0.0
1212,302,0.0
1213,323,1.0
1214,341,0.0
1215,363,1.0
1216,367,1.0
1217,375,0.0
1218,382,1.0
1219,384,1.0
1220,385,0.0
1221,410,0.0
1222,415,1.0
1223,418,1.0
1224,420,0.0
1225,432,1.0
1226,433,0.0
1227,439,0.0
1228,451,0.0
1229,463,1.0
1230,487,0.0
1231,488,1.0
1232,489,1.0
1233,492,0.0
1234,508,0.0
1235,510,0.0
1236,564,0.0
1237,585,0.0
1238,605,0.0
1239,610,1.0
1240,661,0.0
1241,702,0.0
1242,718,1.0
1243,741,0.0
1244,9,0.0
1245,11,0.0
1246,12,0.0
1247,14,1.0
1248,18,1.0
1249,21,0.0
1250,22,1.0
1251,26,0.0
1252,28,0.0
1253,45,0.0
1254,48,0.0
1255,52,0.0
1256,70,0.0
1257,71,0.0
1258,87,1.0
1259,90,1.0
1260,108,1.0
1261,118,0.0
1262,122,1.0
1263,135,1.0
1264,138,0.0
1265,152,1.0
1266,155,0.0
1267,157,1.0
1268,176,1.0
1269,182,0.0
1270,191,0.0
1271,209,1.0
1272,223,0.0
1273,232,1.0
1274,234,1.0
1275,251,0.0
1276,266,0.0
1277,273,1.0
1278,276,1.0
1279,281,0.0
1280,290,0.0
1281,299,1.0
1282,308,0.0
1283,334,1.0
1284,337,1.0
1285,338,0.0
1286,362,1.0
1287,365,1.0
1288,368,0.0
1289,369,1.0
1290,379,0.0
1291,410,0.0
1292,415,1.0
1293,416,1.0
1294,417,0.0
1295,422,0.0
1296,458,0.0
1297,461,1.0
1298,478,0.0
1299,486,1.0
1300,499,0.0
1301,503,1.0
1302,522,0.0
1303,530,0.0
1304,532,0.0
1305,536,1.0
1306,540,1.0
1307,542,1.0
1308,544,1.0
1309,548,1.0
1310,560,1.0
1311,576,0.0
1312,580,0.0
1313,590,1.0
1314,605,0.0
1315,606,1.0
1316,627,0.0
1317,633,0.0
1318,637,1.0
1319,654,1.0
1320,665,0.0
1321,673,0.0
1322,683,1.0
1323,685,1.0
1324,688,0.0
1325,690,1.0
1326,694,0.0
1327,697,1.0
1328,699,0.0
1329,706,1.0
1330,723,1.0
1331,744,0.0
1332,0,0.0
1333,4,0.0
1334,6,1.0
1335,8,0.0
1336,9,1.0
1337,26,1.0
1338,42,1.0
1339,43,0.0
1340,51,1.0
1341,60,0.0
1342,66,1.0
1343,87,0.0
1344,105,0.0
1345,109,0.0
1346,132,0.0
1347,133,0.0
1348,150,1.0
1349,153,0.0
1350,165,0.0
1351,171,1.0
1352,177,1.0
1353,186,0.0
1354,189,0.0
1355,201,1.0
1356,215,1.0
1357,238,0.0
1358,256,0.0
1359,259,0.0
1360,263,0.0
1361,269,1.0
1362,308,0.0
1363,322,1.0
1364,323,0.0
1365,339,1.0
1366,343,0.0
1367,356,1.0
1368,357,0.0
1369,361,0.0
1370,377,0.0
1371,384,1.0
1372,388,0.0
1373,389,0.0
1374,391,0.0
1375,405,0.0
1376,406,1.0
1377,410,0.0
1378,411,0.0
1379,421,0.0
1380,429,0.0
1381,437,0.0
1382,440,0.0
1383,455,0.0
1384,462,0.0
1385,471,0.0
1386,477,0.0
1387,525,0.0
1388,531,0.0
1389,560,0.0
1390,572,0.0
1391,598,0.0
1392,601,0.0
1393,612,1.0
1394,614,1.0
1395,623,1.0
1396,635,0.0
1397,646,1.0
1398,700,1.0
1399,705,1.0
1400,724,1.0
1401,733,1.0
1402,1,1.0
1403,5,0.0
1404,16,0.0
1405,30,0.0
1406,34,0.0
1407,42,0.0
1408,46,1.0
1409,53,1.0
1410,65,1.0
1411,70,0.0
1412,74,1.0
1413,78,0.0
1414,79,0.0
1415,81,0.0
1416,91,0.0
1417,113,0.0
1418,122,1.0
1419,127,0.0
1420,135,1.0
1421,138,0.0
1422,144,0.0
1423,169,1.0
1424,170,0.0
1425,197,1.0
1426,207,0.0
1427,209,1.0
1428,217,1.0
1429,222,0.0
1430,247,0.0
1431,261,0.0
1432,268,1.0
1433,273,0.0
1434,283,0.0
1435,285,1.0
1436,286,0.0
1437,299,0.0
1438,309,1.0
1439,319,1.0
1440,321,1.0
1441,322,0.0
1442,323,1.0
1443,336,1.0
1444,339,0.0
1445,359,0.0
1446,360,1.0
1447,375,1.0
1448,409,0.0
1449,434,1.0
1450,439,0.0
1451,463,0.0
1452,478,0.0
1453,496,1.0
1454,498,1.0
1455,500,0.0
1456,507,1.0
1457,522,1.0
1458,523,1.0
1459,525,1.0
1460,527,1.0
1461,535,1.0
1462,556,1.0
1463,566,1.0
1464,571,0.0
1465,575,1.0
1466,581,0.0
1467,591,1.0
1468,597,0.0
1469,600,0.0
1470,618,0.0
1471,621,0.0
1472,626,0.0
1473,637,0.0
1474,640,0.0
1475,647,0.0
1476,661,1.0
1477,669,1.0
1478,689,0.0
1479,702,1.0
1480,711,0.0
1481,717,0.0
1482,718,0.0
1483,722,0.0
1484,724,1.0
1485,733,0.0
1486,734,0.0
1487,737,0.0
1488,740,0.0
1489,741,0.0
1490,745,1.0
1491,31,1.0
1492,55,0.0
1493,91,0.0
1494,104,1.0
1495,106,0.0
1496,142,0.0
1497,147,0.0
1498,156,1.0
1499,163,1.0
1500,164,1.0
1501,179,0.0
1502,223,1.0
1503,228,1.0
1504,231,0.0
1505,241,1.0
1506,244,1.0
1507,255,1.0
1508,281,0.0
1509,291,1.0
1510,297,1.0
1511,302,1.0
1512,305,1.0
1513,309,0.0
1514,328,0.0
1515,332,1.0
1516,334,1.0
1517,335,1.0
1518,343,1.0
1519,345,0.0
1520,357,0.0
1521,361,1.0
1522,362,0.0
1523,363,0.0
1524,373,0.0
1525,377,0.0
1526,389,1.0
1527,392,1.0
1528,409,0.0
1529,420,1.0
1530,439,1.0
1531,442,1.0
1532,466,0.0
1533,470,0.0
1534,475,1.0
1535,479,0.0
1536,488,1.0
1537,508,0.0
1538,526,0.0
1539,554,0.0
1540,573,1.0
1541,574,0.0
1542,577,0.0
1543,584,1.0
1544,586,0.0
1545,587,0.0
1546,597,1.0
1547,609,0.0
1548,615,0.0
1549,629,0.0
1550,640,0.0
1551,642,1.0
1552,663,0.0
1553,667,0.0
1554,680,0.0
1555,681,0.0
1556,707,1.0
1557,713,1.0
1558,723,0.0
1559,725,0.0
1560,730,0.0
1561,30,0.0
1562,50,1.0
1563,60,0.0
1564,66,0.0
1565,77,0.0
1566,78,0.0
1567,87,0.0
1568,96,0.0
1569,134,0.0
1570,175,1.0
1571,176,1.0
1572,203,0.0
1573,207,1.0
1574,228,0.0
1575,231,0.0
1576,258,0.0
1577,261,0.0
1578,286,0.0
1579,336,1.0
1580,339,0.0
1581,354,0.0
1582,374,0.0
1583,376,0.0
1584,377,0.0
1585,379,0.0
1586,383,0.0
1587,392,0.0
1588,397,0.0
1589,418,1.0
1590,420,1.0
1591,439,0.0
1592,441,0.0
1593,453,0.0
1594,466,0.0
1595,477,0.0
1596,486,0.0
1597,494,0.0
1598,523,0.0
1599,529,0.0
1600,548,1.0
1601,560,0.0
1602,609,0.0
1603,614,0.0
1604,620,1.0
1605,635,1.0
1606,646,0.0
1607,658,1.0
1608,662,1.0
1609,678,0.0
1610,679,0.0
1611,684,0.0
1612,694,1.0
1613,695,1.0
1614,699,0.0
1615,700,0.0
1616,703,1.0
1617,708,0.0
1618,709,0.0
1619,720,0.0
1620,1,0.0
1621,8,1.0
1622,21,1.0
1623,37,1.0
1624,38,1.0
1625,39,0.0
1626,44,1.0
1627,46,1.0
1628,66,1.0
1629,74,0.0
1630,80,0.0
1631,96,1.0
1632,116,0.0
1633,136,1.0
1634,143,1.0
1635,151,1.0
1636,157,0.0
1637,162,1.0
1638,167,1.0
1639,168,0.0
1640,177,0.0
1641,187,1.0
1642,188,1.0
1643,190,1.0
1644,195,1.0
1645,201,0.0
1646,213,1.0
1647,222,1.0
1648,231,0.0
1649,251,0.0
1650,253,0.0
1651,260,0.0
1652,271,0.0
1653,273,0.0
1654,275,1.0
1655,276,0.0
1656,284,1.0
1657,290,1.0
1658,305,1.0
1659,314,1.0
1660,337,0.0
1661,342,0.0
